State,Common name,Scientific name,Image
Andhra Pradesh,Rose-ringed parakeet,Psittacula krameri[2],"<a class=""image"" href=""/wiki/File:Rose-ringed_Parakeet_(Psittacula_krameri)-_Female_on_a_Neem_(Azadirachta_indica)_tree_at_Hodal_Iws_IMG_1279.jpg""><img alt=""Rose-ringed Parakeet (Psittacula krameri)- Female on a Neem (Azadirachta indica) tree at Hodal Iws IMG 1279.jpg"" data-file-height=""600"" data-file-width=""660"" decoding=""async"" height=""182"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Rose-ringed_Parakeet_%28Psittacula_krameri%29-_Female_on_a_Neem_%28Azadirachta_indica%29_tree_at_Hodal_Iws_IMG_1279.jpg/200px-Rose-ringed_Parakeet_%28Psittacula_krameri%29-_Female_on_a_Neem_%28Azadirachta_indica%29_tree_at_Hodal_Iws_IMG_1279.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Rose-ringed_Parakeet_%28Psittacula_krameri%29-_Female_on_a_Neem_%28Azadirachta_indica%29_tree_at_Hodal_Iws_IMG_1279.jpg/300px-Rose-ringed_Parakeet_%28Psittacula_krameri%29-_Female_on_a_Neem_%28Azadirachta_indica%29_tree_at_Hodal_Iws_IMG_1279.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/3/36/Rose-ringed_Parakeet_%28Psittacula_krameri%29-_Female_on_a_Neem_%28Azadirachta_indica%29_tree_at_Hodal_Iws_IMG_1279.jpg/400px-Rose-ringed_Parakeet_%28Psittacula_krameri%29-_Female_on_a_Neem_%28Azadirachta_indica%29_tree_at_Hodal_Iws_IMG_1279.jpg 2x"" width=""200""/></a>"
Arunachal Pradesh,Great hornbill,Buceros bicornis,"<a class=""image"" href=""/wiki/File:Great-Hornbill.jpg""><img alt=""Great-Hornbill.jpg"" data-file-height=""499"" data-file-width=""600"" decoding=""async"" height=""166"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Great-Hornbill.jpg/200px-Great-Hornbill.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Great-Hornbill.jpg/300px-Great-Hornbill.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Great-Hornbill.jpg/400px-Great-Hornbill.jpg 2x"" width=""200""/></a>"
Assam,White-winged wood duck,Asarcornis scutulata,"<a class=""image"" href=""/wiki/File:White-winged.wood.duck.arp.jpg""><img alt=""White-winged.wood.duck.arp.jpg"" data-file-height=""1014"" data-file-width=""1621"" decoding=""async"" height=""125"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/White-winged.wood.duck.arp.jpg/200px-White-winged.wood.duck.arp.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/White-winged.wood.duck.arp.jpg/300px-White-winged.wood.duck.arp.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/7/7e/White-winged.wood.duck.arp.jpg/400px-White-winged.wood.duck.arp.jpg 2x"" width=""200""/></a>"
Bihar,House Sparrow,Passer domesticus,
Chhattisgarh,Bastar hill myna,Gracula religiosa peninsularis,"<a class=""image"" href=""/wiki/File:Gracula_religiosa_robusta-01.JPG""><img alt=""Gracula religiosa robusta-01.JPG"" data-file-height=""3454"" data-file-width=""2590"" decoding=""async"" height=""267"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Gracula_religiosa_robusta-01.JPG/200px-Gracula_religiosa_robusta-01.JPG"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Gracula_religiosa_robusta-01.JPG/300px-Gracula_religiosa_robusta-01.JPG 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Gracula_religiosa_robusta-01.JPG/400px-Gracula_religiosa_robusta-01.JPG 2x"" width=""200""/></a>"
Goa,Flame-throated bulbul (also known specifically as Ruby-throated yellow bulbul),Pycnonotus gularis,"<a class=""image"" href=""/wiki/File:Flame-throated_bulbul.jpg""><img alt=""Flame-throated bulbul.jpg"" data-file-height=""596"" data-file-width=""900"" decoding=""async"" height=""132"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flame-throated_bulbul.jpg/200px-Flame-throated_bulbul.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flame-throated_bulbul.jpg/300px-Flame-throated_bulbul.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Flame-throated_bulbul.jpg/400px-Flame-throated_bulbul.jpg 2x"" width=""200""/></a>"
Gujarat,Greater flamingo,Phoenicopterus roseus,"<a class=""image"" href=""/wiki/File:Greater_flamingo_sub_adult_(1).jpg""><img alt=""Greater flamingo sub adult (1).jpg"" data-file-height=""1828"" data-file-width=""2498"" decoding=""async"" height=""146"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Greater_flamingo_sub_adult_%281%29.jpg/200px-Greater_flamingo_sub_adult_%281%29.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Greater_flamingo_sub_adult_%281%29.jpg/300px-Greater_flamingo_sub_adult_%281%29.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Greater_flamingo_sub_adult_%281%29.jpg/400px-Greater_flamingo_sub_adult_%281%29.jpg 2x"" width=""200""/></a>"
Haryana,Black francolin,Francolinus francolinus,"<a class=""image"" href=""/wiki/File:Black_Francolin.jpg""><img alt=""Black Francolin.jpg"" data-file-height=""678"" data-file-width=""600"" decoding=""async"" height=""226"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Black_Francolin.jpg/200px-Black_Francolin.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Black_Francolin.jpg/300px-Black_Francolin.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Black_Francolin.jpg/400px-Black_Francolin.jpg 2x"" width=""200""/></a>"
Himachal Pradesh,Western tragopan (Jujurana),Tragopan melanocephalus,"<a class=""image"" href=""/wiki/File:WesternTragopan.jpg""><img alt=""WesternTragopan.jpg"" data-file-height=""915"" data-file-width=""692"" decoding=""async"" height=""264"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/WesternTragopan.jpg/200px-WesternTragopan.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/WesternTragopan.jpg/300px-WesternTragopan.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/e/e7/WesternTragopan.jpg/400px-WesternTragopan.jpg 2x"" width=""200""/></a>"
Jharkhand,Asian Koel,Eudynamys scolopacea,"<a class=""image"" href=""/wiki/File:Asian_Koel_(Male)_I_IMG_8190.jpg""><img alt=""Asian Koel (Male) I IMG 8190.jpg"" data-file-height=""600"" data-file-width=""674"" decoding=""async"" height=""178"" src=""//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Asian_Koel_%28Male%29_I_IMG_8190.jpg/200px-Asian_Koel_%28Male%29_I_IMG_8190.jpg"" srcset=""//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Asian_Koel_%28Male%29_I_IMG_8190.jpg/300px-Asian_Koel_%28Male%29_I_IMG_8190.jpg 1.5x, //upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Asian_Koel_%28Male%29_I_IMG_8190.jpg/400px-Asian_Koel_%28Male%29_I_IMG_8190.jpg 2x"" width=""200""/></a>"
